ProjectID,AppNum,AppType,Description,ProjectName,ProjectTown,District,Status,GisLatitude,GisLongitude,LINK
2,100024,Major,Construct Chalet & 15 Unit Motel,Sun & Ski Motel,Stowe,05,Permit,44.47272435,-72.70883061,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100024
8,100025,Major,CONSTRUCT CHURCH AND PARISH FACILITIES,,Johnson,05,Permit,44.63460093,-72.67715856,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100025
9,100026,Major,CONDO COMPLEX WITH PRIVATE RECREATIONAL FACILITIES,,Stowe,05,Denied,44.46477832,-72.6816058,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100026
10,100027,Minor,OFFICE ADDITION,"Johnson Woolen Mills, Inc.",Johnson,05,Permit,44.63499988,-72.67809647,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100027
11,100028,Major,EXTEND TOWN HIGHWAY 51,,Hyde Park,05,Permit,44.59401049,-72.56334093,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100028
12,100029,Major,CONSTRUCTION OF A MOTEL,Deerun Motel,Cambridge,05,Permit,44.64961561,-72.82008923,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100029
16,100004,Major,1 FAM RES SUBDIV, Puckerbush Subdivision,Hyde Park,05,Permit,44.61618397,-72.56621674,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100004
17,100006,Major,Reconstruct Vermont Route 118,Route 118,Eden,05,Permit,44.70760447,-72.54593348,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100006
18,100007,Minor,Construct Elementary School,Morristown School District,Morristown,05,Permit,44.56453468,-72.58616053,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100007
22,100011,Minor,Construction of sanitary sewer facilities for Village of Swanton,,Swanton,06,Permit,44.92329233,-73.12388509,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100011
23,100012,Major,Construct Shoppng Center,Shopping Center,Morristown,05,Permit,44.57548922,-72.59244262,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100012
39,100013,Major,GAS SERVICE STATION,,Saint Albans Town,06,Permit,44.79465969,-73.07263111,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100013
41,100014,Major,EXTEND CONST COMPL DATE,Northgate Plaza Shopping Center,Morristown,05,Permit,44.57242152,-72.59374598,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100014
55,100015,Major,Construct 5000 Sq.Ft. Building,Research & Development Facilty,Cambridge,05,Permit,44.65290797,-72.82842384,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100015
56,100016,Minor,"Construct 86,000 Sq. Ft. Facility",Stowe  Jr./Sr. High School,Stowe,05,Permit,44.46607376,-72.72805159,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100016
59,100017,Minor,"Installation of additional 12,000 gal. gasoline storage tank at marina",Burton Island State Park,Saint Albans Town,06,Permit,44.77258317,-73.2014516,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100017
60,100018,Minor,Install trailer sanitary station,Smugglers' Notch Camping Area,Stowe,05,Permit,44.53322291,-72.78644034,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100018
64,100019,Minor,REBUILD ROAD 1.2 MILES,,Sheldon,06,Permit,44.92827057,-72.86549275,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100019
66,100020,Minor,RECREATIONAL GROUND,Stowe Recreational Facility,Stowe,05,Permit,44.46108011,-72.68532158,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100020
75,100021,Minor,Build Addition to Existing Grand Union Shopping Center,Aubuchon Hardware Store,Johnson,05,Permit,44.63570238,-72.68202639,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100021
76,100022,Minor,VOLKSWAGEN SALES & SERVICE,,Saint Albans Town,06,Permit,44.84508652,-73.0789352,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100022
84,100030,Major,SUBDIVISION OF EIGHT TOWN HOUSE UNITS,,Cambridge,05,Permit,44.58970942,-72.78434279,https://anrweb.vt.gov/ANR/Act250/Details.aspx?Num=100030
