ESITEID,TOWNNAME,COUNTY,RPC,SITETYPE,Sitetype_General,UNITCOUNT,YEARBUILT,AFFORDABLE,GPSX,GPSY,PRIMARYADDRESS,ZIP,SOURCEOFDATA,CHANGE
770598,RUTLAND TOWN,Rutland County,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-72.95320010008483,43.666197990586824,291 THISTLE HILL PL,05701,Vermont Enhanced 911 Board,
656553,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,4,2025,UNKNOWN,-73.10739040901275,44.686328648666986,140 GUILDER LN,05468,Vermont Enhanced 911 Board,
306399,SAINT ALBANS TOWN,FRANKLIN,Northwest RPC,CONDOMINIUM,MULTI-FAMILY DWELLING,1,2024,UNKNOWN,-73.06455401261111,44.83310030639515,1080 FRANKLIN PARK W,05478,Vermont Enhanced 911 Board,
772952,BAKERSFIELD,Franklin County,Northwest RPC,CAMP,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.79537509918023,44.82603747771721,215 LAROSE DR,05450,Vermont Enhanced 911 Board,
617958,ESSEX JUNCTION CITY,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,2,2025,AFFORDABLE,-73.10704254599463,44.4906627694016,8 EAST ST,05452,CITY OF ESSEX JUNCTION,
101239,ESSEX JUNCTION CITY,CHITTENDEN,Chittenden County RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,2,2024,MARKET,-73.09989802851604,44.497003671981226,135 MAIN ST,05452,CITY OF ESSEX JUNCTION,
2159,ALBURGH,GRAND ISLE,Northwest RPC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2025,UNKNOWN,-73.21482039747727,45.00228383628863,2042 ALBURGH SPRINGS RD,05440,Vermont Enhanced 911 Board,
656542,GEORGIA,Franklin County,Northwest RPC,MULTI-FAMILY DWELLING,MULTI-FAMILY DWELLING,2,2025,UNKNOWN,-73.1086453643212,44.687181949220324,55 GUILDER LN,05468,Vermont Enhanced 911 Board,
316880,KILLINGTON,RUTLAND,Rutland Regional PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-72.78124702180402,43.65693949112786,513 TANGLEWOOD DR,05751,Vermont Enhanced 911 Board,
656566,DERBY,Orleans County,Northeastern Vermont Dev. Assoc.,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.18371967507395,44.99129984384824,269 SUNSET ACRES,05855,Vermont Enhanced 911 Board,
656564,WATERVILLE,Lamoille County,Lamoille County PC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2026,UNKNOWN,-72.7382329281878,44.682214306274744,263 BACON RD,05656,Vermont Enhanced 911 Board,
772989,RANDOLPH,Orange County,Two Rivers-Ottauquechee RC,OTHER RESIDENTIAL,OTHER RESIDENTIAL,1,2026,UNKNOWN,-72.64615510205148,43.92081763589448,0 STOCK FARM RD,05060,Vermont Enhanced 911 Board,
151693,MANCHESTER,BENNINGTON,Bennington County RC,SINGLE FAMILY DWELLING,SINGLE FAMILY DWELLING,1,2024,UNKNOWN,-73.0167734945615,43.170990356016155,340 ROOTVILLE RD,05255,Vermont Enhanced 911 Board,
