ESITEID,PRIMARYADDRESS,TOWNNAME,PARCELNUM,UNITCOUNT,YEARBUILT,SITETYPE,GPSX,GPSY,ParcelCategory,SOURCEOFDATA
10526,167 S MAIN ST,BARRE CITY,1345-0167-0000,3,1998,DEVELOPMENT SITE,-72.498989302663,44.18667574253912,C,Vermont Enhanced 911 Board
169603,162 MAPLE ST,MORRISTOWN,23202-,2,1998,DEVELOPMENT SITE,-72.59417794482985,44.559183056937464,R1,Vermont Enhanced 911 Board
283972,209 BLUE HERON WAY,WESTMINSTER,011201.300,1,1998,DEVELOPMENT SITE,-72.49302928908084,43.03746096513634,M,Vermont Enhanced 911 Board
178013,51 KINGDOM WAY,NEWPORT CITY,142004-001,1,1998,DEVELOPMENT SITE,-72.20115149874313,44.92442790305207,M,Vermont Enhanced 911 Board
178017,157 KINGDOM WAY,NEWPORT CITY,141007-,1,1998,DEVELOPMENT SITE,-72.19987143794982,44.92519863181598,M,Vermont Enhanced 911 Board
283968,116 BLUE HERON WAY,WESTMINSTER,011201.500,1,2004,DEVELOPMENT SITE,-72.48977539526136,43.03826937493276,M,Vermont Enhanced 911 Board
178015,75 KINGDOM WAY,NEWPORT CITY,142004-002,1,1998,DEVELOPMENT SITE,-72.20080221276389,44.92452743904944,M,Vermont Enhanced 911 Board
232906,66 IRISH FARM RD,SOUTH BURLINGTON,0927-00066.,1,1998,DEVELOPMENT SITE,-73.19936150425171,44.42236962517473,M,Vermont Enhanced 911 Board
162481,8 RIVER ST,MILTON,134064.000000,1,2003,DEVELOPMENT SITE,-73.11293084613638,44.63917919406295,CA,Vermont Enhanced 911 Board
162510,175 BEEBE HILL RD,MILTON,218015.001000,1,2003,DEVELOPMENT SITE,-73.18895042285129,44.69279997103618,R2,Vermont Enhanced 911 Board
145769,337 WENTWORTH RD,LUNENBURG,023005.000,1,2003,DEVELOPMENT SITE,-71.71694632355114,44.45664182135499,R1,Vermont Enhanced 911 Board
247267,86 STEALTH RIDGE LN,SAINT JOHNSBURY,213033.,1,1998,DEVELOPMENT SITE,-72.0091452657597,44.42702456904563,M,Vermont Enhanced 911 Board
317171,612 UNION ST,NEWPORT CITY,113027-,1,1998,DEVELOPMENT SITE,-72.19843936191435,44.95037024255108,M,Vermont Enhanced 911 Board
244222,1942 DIAMOND HILL RD,SAINT JOHNSBURY,021004.,1,1998,DEVELOPMENT SITE,-72.03782653736305,44.50309753423715,M,Vermont Enhanced 911 Board
