id,OBJECTID,RPC,INITIALS,SHORTNAME,LONGNAME,RPC_Area,Lower2025_2030,Upper2025_2030,Lower2025_2050,Upper2025_2050,Total2020,Shape__Area,Shape__Length
1,1,CC,CCRPC,Chittenden County RPC,Chittenden County Regional Planning Commission,Chittenden County,7301,10537,15783,47407,73085,3159550125.875,282739.06408439204
2,2,MA,MARC,Mount Ascutney RC,Mount Ascutney Regional Commission ,Mount Ascutney (Southwest),1207,1781,3750,7391,15491,1686538385.734375,177294.11883049898
3,3,BC,BCRC,Bennington County RC,Bennington County Regional Commission,Bennington County,1453,2188,4483,8836,18520,2788522643.625,278796.4686232068
4,4,NW,NWRPC,Northwest RPC,Northwest Regional Planning Commission,Northwestern Vermont,2144,3249,6755,13315,27907,4546976373.222656,342251.3001885643
5,5,LC,LCPC,Lamoille County PC,Lamoille County Planning Commission,Lamoille County,1387,1959,3359,6621,13878,2382508467.671875,233466.42144309287
6,6,NV,NVDA,Northeastern Vermont Dev. Assoc.,Northeastern Vermont Development Association,Northeastern Vermont,2836,4193,9014,17768,37240,10513213772.597656,595795.5711626076
7,7,WR,WRC,Windham RC,Windham Regional Commission,Windham Regional,2571,3730,7933,15635,32771,4534562763.546875,358565.39768026996
8,8,CV,CVRPC,Central Vermont RPC,Central Vermont Regional Planning Commission,Central Vermont,2540,3864,8045,15856,33234,4107649653.9492188,315217.4433813651
9,9,TR,TRORC,Two Rivers-Ottauquechee RC,Two Rivers-Ottauquechee Regional Commission,Two Rivers Ottauquechee,2424,3640,7692,15162,31778,6377706062.847656,467137.80303944804
10,10,RR,RRPC,Rutland Regional PC,Rutland Regional Planning Commission,Rutland Regional,2707,4065,8100,15965,33462,4567248138.121094,360250.6186188938
11,11,AC,ACRPC,Addison County RPC,Addison County Regional Planning Commission,Addison County,1296,1978,4103,8088,16952,3600213373.828125,284593.8944991602
