OBJECTID,PERMITNUMBER,PROJECTID,NAME,CONTACT,PERMITGROUP,PERMITSTATUS,StatusDate,EXPDATE,Latitude,Longitude,PDF_LINK
1,1-0052,,MS4 Town of Colchester,Stormwater Program,Other,Inactive,1516629300000,283996800000,44.523332,-73.162584,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0052.pdf
2,1-0236,,MS4 Village of Essex Junction,Stormwater Program,Other,Inactive,1502962380000,391737600000,44.494302,-73.099327,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0236.pdf
3,1-0250,,MS4 Town of Essex,Stormwater Program,Other,Inactive,1502374500000,407462400000,44.504,-73.128428,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0250.pdf
4,1-0337,,Howard Mental Health Services,Stormwater Program,Other,Issued,384048000000,541468800000,44.456031,-73.214931,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0337.pdf
5,1-0357,BP99.9999,Trail Creek Condominiums,Stormwater Program,Other,Issued,440035200000,591580800000,43.625556,-72.790556,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0357.pdf
6,1-0464,,MS4 City of South Burlington,Stormwater Program,Other,Inactive,1768381920000,694137600000,44.436998,-73.162189,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0464.pdf
7,1-0470,,Allen Pond,Stormwater Program,Other,Issued,577411200000,694137600000,43.598702,-72.962663,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0470.pdf
8,1-0477,,MS4 City of St. Albans,Stormwater Program,Other,Inactive,1503313440000,694137600000,44.810464,-73.097401,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0477.pdf
9,1-0491,BP99.9999,The Center at Essex,Stormwater Program,Other,Inactive,1556277480000,694137600000,44.507778,-73.078333,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0491.pdf
10,1-0493,BP99.9999,Deer Creek at Mount Snow,Stormwater Program,Other,Issued,672451200000,741398400000,42.963056,-72.889167,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0493.pdf
11,1-0495,BP99.9999,Winch Hill,Stormwater Program,Other,Issued,1458055620000,694137600000,44.088889,-72.674167,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0495.pdf
12,1-0499,BP99.9999,Seasons Condominiums,Stormwater Program,Other,Issued,547344000000,694137600000,42.956339,-72.89149,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0499.pdf
13,1-0513,,MS4 The Town of Williston,Stormwater Program,Other,Inactive,1583407440000,694137600000,44.449744,-73.102222,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0513.pdf
14,1-0518,,MS4 Town of Essex,Stormwater Program,Other,Inactive,1502374500000,702000000000,44.506765,-73.136781,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0518.pdf
15,1-0537,BP99.9999,Double Four Orchards,Stormwater Program,Other,Issued,1476453180000,702000000000,43.317778,-72.498889,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0537.pdf
16,1-0552,,MS4 Town of Essex,Stormwater Program,Other,Inactive,1502374440000,702000000000,44.506916,-73.133317,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0552.pdf
17,1-0576,,MS4 City of Winooski,Stormwater Program,Other,Inactive,1605794820000,717811200000,44.502915,-73.193639,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0576.pdf
18,1-0577,,MS4 Town of St. Albans ,Stormwater Program,Other,Inactive,1680618840000,717811200000,44.805886,-73.099758,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0577.pdf
19,1-0580,,Ball Mountain Road Subdivision,Stormwater Program,Other,Issued,1458055680000,,43.044986,-73.175653,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0580.pdf
20,1-0594,EJ04-0188,5 Lot Subdivision (f.k.a Baslow Subdivision),Stormwater Program,Other,Issued,1458055740000,702000000000,44.576667,-72.939722,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0594.pdf
21,1-0607,,West View Estates,Stormwater Program,Other,Issued,582508800000,717811200000,44.407163,-73.20294,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0607.pdf
22,1-0618,BP99.9999,Dynapower,Stormwater Program,Other,Issued,571276800000,725760000000,44.442051,-73.152907,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0618.pdf
23,1-0619,,MS4 Town of Essex,Stormwater Program,Other,Inactive,1502374440000,725760000000,44.506765,-73.136781,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0619.pdf
24,1-0646,BP99.9999,Patten Corp. 20 Lot Subdivision,Stormwater Program,Other,Issued,1458055740000,741398400000,43.086389,-72.738889,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0646.pdf
25,1-0647,,MS4 City of South Burlington,Stormwater Program,Other,Inactive,1559637900000,741398400000,44.446341,-73.170506,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0647.pdf
26,1-0650,,MS4 Town of St. Albans ,Stormwater Program,Other,Inactive,1680616860000,725760000000,44.80986,-73.069428,https://anrweb.vt.gov/PubDocs/DEC/Stormwater/Permits/1-0650.pdf
