GEOID,NAME,County_Name,population_2020,housing_units_2020
5000100325,"Addison town","ADDISON COUNTY",1365,717
5000108575,"Bridport town","ADDISON COUNTY",1225,625
5000109025,"Bristol town","ADDISON COUNTY",3782,1762
5000116000,"Cornwall town","ADDISON COUNTY",1207,547
5000126300,"Ferrisburgh town","ADDISON COUNTY",2646,1502
5000128600,"Goshen town","ADDISON COUNTY",172,116
5000129575,"Granville town","ADDISON COUNTY",301,234
5000131525,"Hancock town","ADDISON COUNTY",359,199
5000139325,"Leicester town","ADDISON COUNTY",990,655
5000140075,"Lincoln town","ADDISON COUNTY",1323,635
5000144350,"Middlebury town","ADDISON COUNTY",9152,3315
5000145550,"Monkton town","ADDISON COUNTY",2079,902
5000148700,"New Haven town","ADDISON COUNTY",1683,765
5000153725,"Orwell town","ADDISON COUNTY",1239,651
5000153950,"Panton town","ADDISON COUNTY",646,347
5000159650,"Ripton town","ADDISON COUNTY",739,323
5000162575,"Salisbury town","ADDISON COUNTY",1221,686
5000165050,"Shoreham town","ADDISON COUNTY",1260,634
5000170075,"Starksboro town","ADDISON COUNTY",1756,819
5000174650,"Vergennes city","ADDISON COUNTY",2553,1194
5000176075,"Waltham town","ADDISON COUNTY",446,216
5000183275,"Weybridge town","ADDISON COUNTY",814,364
5000183800,"Whiting town","ADDISON COUNTY",405,177
5000301450,"Arlington town","BENNINGTON COUNTY",2457,1329
5000304825,"Bennington town","BENNINGTON COUNTY",15333,6856
5000317725,"Dorset town","BENNINGTON COUNTY",2133,1401
5000327962,"Glastenbury town","BENNINGTON COUNTY",9,4
5000339025,"Landgrove town","BENNINGTON COUNTY",177,166
5000342850,"Manchester town","BENNINGTON COUNTY",4484,2823
5000355000,"Peru town","BENNINGTON COUNTY",531,670
5000357025,"Pownal town","BENNINGTON COUNTY",3258,1589
5000358600,"Readsboro town","BENNINGTON COUNTY",702,487
5000361000,"Rupert town","BENNINGTON COUNTY",698,436
5000362875,"Sandgate town","BENNINGTON COUNTY",387,257
5000363175,"Searsburg town","BENNINGTON COUNTY",126,98
5000363550,"Shaftsbury town","BENNINGTON COUNTY",3598,1682
5000369775,"Stamford town","BENNINGTON COUNTY",861,433
5000371425,"Sunderland town","BENNINGTON COUNTY",1056,537
5000385075,"Winhall town","BENNINGTON COUNTY",1182,1710
5000385675,"Woodford town","BENNINGTON COUNTY",355,337
5000502875,"Barnet town","CALEDONIA COUNTY",1663,972
5000510450,"Burke town","CALEDONIA COUNTY",1651,1083
5000517125,"Danville town","CALEDONIA COUNTY",2335,1328
5000530550,"Groton town","CALEDONIA COUNTY",984,642
5000531825,"Hardwick town","CALEDONIA COUNTY",2920,1438
5000537900,"Kirby town","CALEDONIA COUNTY",575,257
5000541725,"Lyndon town","CALEDONIA COUNTY",5491,2425
5000547725,"Newark town","CALEDONIA COUNTY",584,547
5000554400,"Peacham town","CALEDONIA COUNTY",715,528
5000561525,"Ryegate town","CALEDONIA COUNTY",1165,614
5000562200,"St. Johnsbury town","CALEDONIA COUNTY",7364,3508
5000564075,"Sheffield town","CALEDONIA COUNTY",682,394
5000569925,"Stannard town","CALEDONIA COUNTY",208,127
5000571575,"Sutton town","CALEDONIA COUNTY",913,482
5000575700,"Walden town","CALEDONIA COUNTY",956,617
5000577125,"Waterford town","CALEDONIA COUNTY",1268,614
5000583500,"Wheelock town","CALEDONIA COUNTY",759,421
5000706550,"Bolton town","CHITTENDEN COUNTY",1301,633
